ID,Platform,Procedure,Expected result,Status,Actual result,Evidence,Defect or blocker,Build / browser / device,Executed at
C24,Desktop,"Plan: inspect Free limits, pricing and upgrade entry; cancel any checkout before payment.",Plan/usage agree; displayed regional price and period agree with advertised offer; cancellation does not grant Pro or charge. Unconfigured purchase flow is clearly unavailable.,Fail,Public Pricing advertises 1 Free / 5 Pro Profiles; signed-in Plan advertises/enforces display of 3 / 10. QA remains Free with zero usage. Subscribe did not reach a usable checkout during this check; no payment completed. Regional price/cancel assertions remain incomplete.,qa-evidence/2026-09-14-smoke/C24-plan.png; public--pricing.png,SMOKE-002,Staging 63971985; Chrome 153; desktop 1440x900 / mobile-web 390x844,2026-09-14T05:44:09.292180+00:00
C25,Desktop,Admin users: create a disposable user in Clerk development; find it in Admin; create another through Admin; verify in Clerk. Grant the scratch user temporary Pro and revoke.,Users synchronize without duplicates within documented sync interval (record elapsed time); no Invalid Payload; grant/revoke changes entitlement without changing billing; visible Admin action history identifies actor and target. Do not delete users in this suite.,Blocked,No disposable Owner/Read-only Admin session prepared. Ordinary QA user cannot access Admin; full role/sync/operations assertions not run.,qa-evidence/2026-09-14-smoke/probes.json,ADMIN-FIXTURE; SMOKE-001,Staging 63971985; Chrome 153; desktop 1440x900 / mobile-web 390x844,
C26,Desktop,"Admin permissions: open Admin as Owner, Read-only and ordinary B; as Read-only attempt the same scratch tier edit.",Owner can perform permitted action; Read-only cannot mutate; B cannot access Admin data even by direct URL. No unauthorized change is saved.,Blocked,No disposable Owner/Read-only Admin session prepared. Ordinary QA user cannot access Admin; full role/sync/operations assertions not run.,qa-evidence/2026-09-14-smoke/probes.json,ADMIN-FIXTURE; SMOKE-001,Staging 63971985; Chrome 153; desktop 1440x900 / mobile-web 390x844,
C27,Desktop,"Admin operations: open work queue, errors, logs, analytics, data QA, approvals, support, inquiries, campaigns/content and notifications; inspect seeded failed import.",Each available Admin navigation destination loads a result or explicit empty state; seeded failure is discoverable with traceable details; destructive/communication actions do not execute on viewing. No bulk retry or message send.,Blocked,No disposable Owner/Read-only Admin session prepared. Ordinary QA user cannot access Admin; full role/sync/operations assertions not run.,qa-evidence/2026-09-14-smoke/probes.json,ADMIN-FIXTURE; SMOKE-001,Staging 63971985; Chrome 153; desktop 1440x900 / mobile-web 390x844,
C28,Desktop,"Privacy and recovery: as B directly open A's private transaction/account URLs; as A temporarily take browser offline, attempt a scratch edit, restore network and reload.","B receives no private data; offline write is explicitly pending/failed, never falsely confirmed; reconnect leaves at most one intended update and allows continued use.",Blocked,Golden fixture cannot be prepared through the signup flow: onboarding crashes on missing staging table. Case not executed beyond dependency check.,qa-evidence/2026-09-14-smoke/probes.json,SMOKE-001,Staging 63971985; Chrome 153; desktop 1440x900 / mobile-web 390x844,
C29,Mobile web,"Launch/sign in; visit Home, Accounts, Transactions, Recurring, More and Account; background/resume native or reload web.","Correct user/Profile, golden balances, intact session, usable bottom navigation and full Transactions label; native dark-background app icon correct; no launch crash or navigation trap.",Blocked,Golden fixture cannot be prepared through the signup flow: onboarding crashes on missing staging table. Case not executed beyond dependency check.,qa-evidence/2026-09-14-smoke/probes.json,SMOKE-001,Staging 63971985; Chrome 153; desktop 1440x900 / mobile-web 390x844,
C30,Mobile web,"Add scratch expense ₱25, edit to ₱30, search/open it, delete it; switch Profile with a fresh canceled draft.",Correct values persist; keyboard does not cover Save; Add sheet/back/cancel/navigation work; selection/draft does not leak between Profiles; golden totals restored.,Blocked,Golden fixture cannot be prepared through the signup flow: onboarding crashes on missing staging table. Case not executed beyond dependency check.,qa-evidence/2026-09-14-smoke/probes.json,SMOKE-001,Staging 63971985; Chrome 153; desktop 1440x900 / mobile-web 390x844,
C31,Mobile web,"Open Upload via file picker and cancel; open camera/microphone inputs and deny permission, then return to Manual. Open seeded review warning.","No accidental upload/transaction; denial has recovery guidance rather than crash; Manual remains usable; warning does not overlap amount and opens the issue. If device/browser lacks an input, an explicit supported fallback is required. Successful capture is outside this run.",Blocked,Golden fixture cannot be prepared through the signup flow: onboarding crashes on missing staging table. Case not executed beyond dependency check.,qa-evidence/2026-09-14-smoke/probes.json,SMOKE-001,Staging 63971985; Chrome 153; desktop 1440x900 / mobile-web 390x844,
C32,Mobile web,"In light then dark mode open Reports (all three chart controls), Split Bills group/payment method, Budgets, Goals, Investments, Circles and Settings. Check mobile web also at 320px.","Main content/actions reachable; correct photos/icons, readable QR, unclipped amounts and charts, no horizontal overflow; safe areas and bottom navigation do not cover content. Compare displayed golden values with desktop. This is a presentation/navigation check, not repeat CRUD for every module.",Blocked,Golden fixture cannot be prepared through the signup flow: onboarding crashes on missing staging table. Case not executed beyond dependency check.,qa-evidence/2026-09-14-smoke/probes.json,SMOKE-001,Staging 63971985; Chrome 153; desktop 1440x900 / mobile-web 390x844,
C33,iOS,"Launch/sign in; visit Home, Accounts, Transactions, Recurring, More and Account; background/resume native or reload web.","Correct user/Profile, golden balances, intact session, usable bottom navigation and full Transactions label; native dark-background app icon correct; no launch crash or navigation trap.",Blocked,Current signed build not installed on an accessible native test device. Simulators/emulator available but no current installed build was exercised; native results are not inferred from web or build success.,clover-whole-app-smoke-run-2026-09-14.md,NATIVE-SETUP; SMOKE-001,iOS build 2 / Android versionCode 3 available; not exercised,
C34,iOS,"Add scratch expense ₱25, edit to ₱30, search/open it, delete it; switch Profile with a fresh canceled draft.",Correct values persist; keyboard does not cover Save; Add sheet/back/cancel/navigation work; selection/draft does not leak between Profiles; golden totals restored.,Blocked,Current signed build not installed on an accessible native test device. Simulators/emulator available but no current installed build was exercised; native results are not inferred from web or build success.,clover-whole-app-smoke-run-2026-09-14.md,NATIVE-SETUP; SMOKE-001,iOS build 2 / Android versionCode 3 available; not exercised,
C35,iOS,"Open Upload via file picker and cancel; open camera/microphone inputs and deny permission, then return to Manual. Open seeded review warning.","No accidental upload/transaction; denial has recovery guidance rather than crash; Manual remains usable; warning does not overlap amount and opens the issue. If device/browser lacks an input, an explicit supported fallback is required. Successful capture is outside this run.",Blocked,Current signed build not installed on an accessible native test device. Simulators/emulator available but no current installed build was exercised; native results are not inferred from web or build success.,clover-whole-app-smoke-run-2026-09-14.md,NATIVE-SETUP; SMOKE-001,iOS build 2 / Android versionCode 3 available; not exercised,
C36,iOS,"In light then dark mode open Reports (all three chart controls), Split Bills group/payment method, Budgets, Goals, Investments, Circles and Settings. Check mobile web also at 320px.","Main content/actions reachable; correct photos/icons, readable QR, unclipped amounts and charts, no horizontal overflow; safe areas and bottom navigation do not cover content. Compare displayed golden values with desktop. This is a presentation/navigation check, not repeat CRUD for every module.",Blocked,Current signed build not installed on an accessible native test device. Simulators/emulator available but no current installed build was exercised; native results are not inferred from web or build success.,clover-whole-app-smoke-run-2026-09-14.md,NATIVE-SETUP; SMOKE-001,iOS build 2 / Android versionCode 3 available; not exercised,
C37,Android,"Launch/sign in; visit Home, Accounts, Transactions, Recurring, More and Account; background/resume native or reload web.","Correct user/Profile, golden balances, intact session, usable bottom navigation and full Transactions label; native dark-background app icon correct; no launch crash or navigation trap.",Blocked,Current signed build not installed on an accessible native test device. Simulators/emulator available but no current installed build was exercised; native results are not inferred from web or build success.,clover-whole-app-smoke-run-2026-09-14.md,NATIVE-SETUP; SMOKE-001,iOS build 2 / Android versionCode 3 available; not exercised,
C38,Android,"Add scratch expense ₱25, edit to ₱30, search/open it, delete it; switch Profile with a fresh canceled draft.",Correct values persist; keyboard does not cover Save; Add sheet/back/cancel/navigation work; selection/draft does not leak between Profiles; golden totals restored.,Blocked,Current signed build not installed on an accessible native test device. Simulators/emulator available but no current installed build was exercised; native results are not inferred from web or build success.,clover-whole-app-smoke-run-2026-09-14.md,NATIVE-SETUP; SMOKE-001,iOS build 2 / Android versionCode 3 available; not exercised,
C39,Android,"Open Upload via file picker and cancel; open camera/microphone inputs and deny permission, then return to Manual. Open seeded review warning.","No accidental upload/transaction; denial has recovery guidance rather than crash; Manual remains usable; warning does not overlap amount and opens the issue. If device/browser lacks an input, an explicit supported fallback is required. Successful capture is outside this run.",Blocked,Current signed build not installed on an accessible native test device. Simulators/emulator available but no current installed build was exercised; native results are not inferred from web or build success.,clover-whole-app-smoke-run-2026-09-14.md,NATIVE-SETUP; SMOKE-001,iOS build 2 / Android versionCode 3 available; not exercised,
C40,Android,"In light then dark mode open Reports (all three chart controls), Split Bills group/payment method, Budgets, Goals, Investments, Circles and Settings. Check mobile web also at 320px.","Main content/actions reachable; correct photos/icons, readable QR, unclipped amounts and charts, no horizontal overflow; safe areas and bottom navigation do not cover content. Compare displayed golden values with desktop. This is a presentation/navigation check, not repeat CRUD for every module.",Blocked,Current signed build not installed on an accessible native test device. Simulators/emulator available but no current installed build was exercised; native results are not inferred from web or build success.,clover-whole-app-smoke-run-2026-09-14.md,NATIVE-SETUP; SMOKE-001,iOS build 2 / Android versionCode 3 available; not exercised,
